iteration,penalty,total.loss,peaks,fp,possible.fp,fn,possible.fn
1,0,-130227.291412003,3199,5,6,0,2
2,157.994737329317,-62199.9310554944,224,5,6,0,2
4,313.236999786254,-31865.7154694907,74,4,6,0,2
5,605.365673153523,-17057.4469581575,35,1,6,0,2
8,674.115923267478,-15147.9265172973,32,1,6,0,2
10,688.223320232035,-14466.9546737519,31,1,6,0,2
9,702.322755503037,-13771.4798768332,30,0,6,0,2
7,731.323925822252,-12338.6354952851,28,0,6,0,2
6,1094.30971435653,-9744.20769993496,25,0,6,0,2
3,1952.66876946418,2640.12790026012,17,0,6,0,2
6,3738.08792382758,19258.1889717209,11,0,6,0,2
7,5674.91008099583,24108.3897784197,10,0,6,0,2
8,6087.26471814432,30064.8919161363,9,0,6,0,2
5,6699.96265606243,36282.9192147084,8,0,6,2,2
4,21915.161494366,89739.6424290717,4,0,6,2,2
1,Inf,375197.873304482,0,0,6,2,2
